Seqname,Source,FeatureType,Start,End,Score,Strand,Frame,x1,x2,Name,x3,Gene,gene_type,x5,x6
NC_017628.1,RefSeq,gene,22342,22605,.,-,.,gene-ECOK1_RS00115,rpsT,Gene,rpsT,protein_coding,ECOK1_RS00115,ECOK1_0020,gene-ECOK1_RS00115
NC_017628.1,RefSeq,gene,22708,22926,.,+,.,gene-ECOK1_RS00120,yaaY,Gene,yaaY,protein_coding,ECOK1_RS00120,gene-ECOK1_RS00120,yaaY
NC_017628.1,RefSeq,gene,22934,23875,.,+,.,gene-ECOK1_RS00125,ribF,Gene,ribF,protein_coding,ECOK1_RS00125,ECOK1_0021,gene-ECOK1_RS00125
NC_017628.1,RefSeq,gene,23918,26734,.,+,.,gene-ECOK1_RS00130,ileS,Gene,ileS,protein_coding,ECOK1_RS00130,ECOK1_0022,gene-ECOK1_RS00130
NC_017628.1,RefSeq,gene,26734,27228,.,+,.,gene-ECOK1_RS00135,lspA,Gene,lspA,protein_coding,ECOK1_RS00135,ECOK1_0023,gene-ECOK1_RS00135
NC_017628.1,RefSeq,gene,27336,27785,.,+,.,gene-ECOK1_RS00140,fkpB,Gene,fkpB,protein_coding,ECOK1_RS00140,ECOK1_0024,gene-ECOK1_RS00140
NC_017628.1,RefSeq,gene,27787,28737,.,+,.,gene-ECOK1_RS00145,ispH,Gene,ispH,protein_coding,lytB,ECOK1_RS00145,ECOK1_0025
NC_017628.1,RefSeq,gene,28803,29717,.,+,.,gene-ECOK1_RS00150,rihC,Gene,rihC,protein_coding,ECOK1_RS00150,ECOK1_0026,gene-ECOK1_RS00150
NC_017628.1,RefSeq,gene,29740,30105,.,+,.,gene-ECOK1_RS00155,ECOK1_RS00155,Gene,protein_coding,ECOK1_RS00155,ECOK1_0027,gene-ECOK1_RS00155,ECOK1_RS00155
NC_017628.1,RefSeq,gene,30266,31087,.,+,.,gene-ECOK1_RS00160,dapB,Gene,dapB,protein_coding,ECOK1_RS00160,ECOK1_0028,gene-ECOK1_RS00160
NC_017628.1,RefSeq,gene,31543,32691,.,+,.,gene-ECOK1_RS00175,carA,Gene,carA,protein_coding,ECOK1_RS00175,ECOK1_0030,gene-ECOK1_RS00175
NC_017628.1,RefSeq,gene,32709,35930,.,+,.,gene-ECOK1_RS00180,carB,Gene,carB,protein_coding,ECOK1_RS00180,ECOK1_0031,gene-ECOK1_RS00180
NC_017628.1,RefSeq,gene,36154,36612,.,+,.,gene-ECOK1_RS00190,tnpA,Gene,tnpA,protein_coding,ECOK1_RS00190,ECOK1_0032,gene-ECOK1_RS00190
NC_017628.1,RefSeq,gene,36902,37297,.,+,.,gene-ECOK1_RS00200,caiF,Gene,caiF,protein_coding,ECOK1_RS00200,ECOK1_0033,gene-ECOK1_RS00200
NC_017628.1,RefSeq,gene,37416,38006,.,-,.,gene-ECOK1_RS00205,caiE,Gene,caiE,protein_coding,ECOK1_RS00205,ECOK1_0034,gene-ECOK1_RS00205
NC_017628.1,RefSeq,gene,38012,38797,.,-,.,gene-ECOK1_RS00210,caiD,Gene,caiD,protein_coding,ECOK1_RS00210,ECOK1_0035,gene-ECOK1_RS00210
NC_017628.1,RefSeq,gene,38906,40459,.,-,.,gene-ECOK1_RS00215,caiC,Gene,caiC,protein_coding,ECOK1_RS00215,ECOK1_0036,gene-ECOK1_RS00215
NC_017628.1,RefSeq,gene,40532,41749,.,-,.,gene-ECOK1_RS00220,caiB,Gene,caiB,protein_coding,ECOK1_RS00220,ECOK1_0037,gene-ECOK1_RS00220
NC_017628.1,RefSeq,gene,41877,43019,.,-,.,gene-ECOK1_RS00225,caiA,Gene,caiA,protein_coding,ECOK1_RS00225,ECOK1_0038,gene-ECOK1_RS00225
NC_017628.1,RefSeq,gene,43050,44564,.,-,.,gene-ECOK1_RS00230,caiT,Gene,caiT,protein_coding,ECOK1_RS00230,ECOK1_0039,gene-ECOK1_RS00230
NC_017628.1,RefSeq,gene,45037,45807,.,+,.,gene-ECOK1_RS00235,fixA,Gene,fixA,protein_coding,ECOK1_RS00235,ECOK1_0040,gene-ECOK1_RS00235
NC_017628.1,RefSeq,gene,45822,46763,.,+,.,gene-ECOK1_RS00240,fixB,Gene,fixB,protein_coding,ECOK1_RS00240,ECOK1_0041,gene-ECOK1_RS00240
NC_017628.1,RefSeq,gene,46814,48100,.,+,.,gene-ECOK1_RS00245,fixC,Gene,fixC,protein_coding,ECOK1_RS00245,ECOK1_0042,gene-ECOK1_RS00245
NC_017628.1,RefSeq,gene,48097,48384,.,+,.,gene-ECOK1_RS00250,fixX,Gene,fixX,protein_coding,ECOK1_RS00250,ECOK1_0043,gene-ECOK1_RS00250
NC_017628.1,RefSeq,gene,48443,49774,.,+,.,gene-ECOK1_RS00255,yaaU,Gene,yaaU,protein_coding,ECOK1_RS00255,ECOK1_0044,gene-ECOK1_RS00255
NC_017628.1,RefSeq,gene,49882,50412,.,+,.,gene-ECOK1_RS00260,kefF,Gene,kefF,protein_coding,ECOK1_RS00260,ECOK1_0045,gene-ECOK1_RS00260
NC_017628.1,RefSeq,gene,50405,52267,.,+,.,gene-ECOK1_RS00265,kefC,Gene,kefC,protein_coding,ECOK1_RS00265,ECOK1_0046,gene-ECOK1_RS00265
NC_017628.1,RefSeq,gene,52459,52938,.,+,.,gene-ECOK1_RS00270,folA,Gene,folA,protein_coding,ECOK1_RS00270,ECOK1_0047,gene-ECOK1_RS00270
NC_017628.1,RefSeq,gene,53024,53257,.,+,.,gene-ECOK1_RS00275,ECOK1_RS00275,Gene,protein_coding,ECOK1_RS00275,ECOK1_0048,gene-ECOK1_RS00275,ECOK1_RS00275
NC_017628.1,RefSeq,gene,53572,54420,.,-,.,gene-ECOK1_RS00285,apaH,Gene,apaH,protein_coding,ECOK1_RS00285,ECOK1_0049,gene-ECOK1_RS00285
NC_017628.1,RefSeq,gene,54427,54804,.,-,.,gene-ECOK1_RS00290,apaG,Gene,apaG,protein_coding,ECOK1_RS00290,ECOK1_0051,gene-ECOK1_RS00290
NC_017628.1,RefSeq,gene,54807,55628,.,-,.,gene-ECOK1_RS00295,rsmA,Gene,rsmA,protein_coding,ECOK1_RS00295,ECOK1_0052,gene-ECOK1_RS00295
NC_017628.1,RefSeq,gene,55625,56614,.,-,.,gene-ECOK1_RS00300,pdxA,Gene,pdxA,protein_coding,ECOK1_RS00300,ECOK1_0053,gene-ECOK1_RS00300
NC_017628.1,RefSeq,gene,56614,57900,.,-,.,gene-ECOK1_RS00305,surA,Gene,surA,protein_coding,ECOK1_RS00305,ECOK1_0054,gene-ECOK1_RS00305
NC_017628.1,RefSeq,gene,57953,60307,.,-,.,gene-ECOK1_RS00310,lptD,Gene,lptD,protein_coding,ECOK1_RS00310,ECOK1_0055,gene-ECOK1_RS00310
NC_017628.1,RefSeq,gene,60562,61377,.,+,.,gene-ECOK1_RS00315,djlA,Gene,djlA,protein_coding,ECOK1_RS00315,ECOK1_0056,gene-ECOK1_RS00315
NC_017628.1,RefSeq,gene,61527,62186,.,-,.,gene-ECOK1_RS00320,rluA,Gene,rluA,protein_coding,ECOK1_RS00320,ECOK1_0057,gene-ECOK1_RS00320
NC_017628.1,RefSeq,gene,62198,65104,.,-,.,gene-ECOK1_RS00325,rapA,Gene,rapA,protein_coding,ECOK1_RS00325,ECOK1_0058,gene-ECOK1_RS00325
NC_017628.1,RefSeq,gene,65268,67619,.,-,.,gene-ECOK1_RS00330,polB,Gene,polB,protein_coding,ECOK1_RS00330,ECOK1_0059,gene-ECOK1_RS00330
NC_017628.1,RefSeq,gene,67694,68389,.,-,.,gene-ECOK1_RS00335,araD,Gene,araD,protein_coding,ECOK1_RS00335,ECOK1_0060,gene-ECOK1_RS00335
NC_017628.1,RefSeq,gene,68589,70091,.,-,.,gene-ECOK1_RS00340,araA,Gene,araA,protein_coding,ECOK1_RS00340,ECOK1_0061,gene-ECOK1_RS00340
NC_017628.1,RefSeq,gene,70102,71802,.,-,.,gene-ECOK1_RS00345,araB,Gene,araB,protein_coding,ECOK1_RS00345,ECOK1_0062,gene-ECOK1_RS00345
NC_017628.1,RefSeq,gene,72141,72986,.,+,.,gene-ECOK1_RS00350,araC,Gene,araC,protein_coding,ECOK1_RS00350,ECOK1_0063,gene-ECOK1_RS00350
NC_017628.1,RefSeq,gene,73501,74349,.,+,.,gene-ECOK1_RS00355,ECOK1_RS00355,Gene,protein_coding,ECOK1_RS00355,ECOK1_0065,gene-ECOK1_RS00355,ECOK1_RS00355
NC_017628.1,RefSeq,gene,74356,74778,.,+,.,gene-ECOK1_RS00360,ECOK1_RS00360,Gene,protein_coding,ECOK1_RS00360,gene-ECOK1_RS00360,ECOK1_RS00360,Gene
NC_017628.1,RefSeq,gene,74933,75697,.,+,.,gene-ECOK1_RS00365,yabI,Gene,yabI,protein_coding,ECOK1_RS00365,ECOK1_0066,gene-ECOK1_RS00365
NC_017628.1,RefSeq,gene,75811,76509,.,-,.,gene-ECOK1_RS00370,thiQ,Gene,thiQ,protein_coding,ECOK1_RS00370,ECOK1_0067,gene-ECOK1_RS00370
NC_017628.1,RefSeq,gene,76493,78103,.,-,.,gene-ECOK1_RS00375,thiP,Gene,thiP,protein_coding,ECOK1_RS00375,ECOK1_0068,gene-ECOK1_RS00375
NC_017628.1,RefSeq,gene,78079,79062,.,-,.,gene-ECOK1_RS00380,thiB,Gene,thiB,protein_coding,ECOK1_RS00380,ECOK1_0069,gene-ECOK1_RS00380
NC_017628.1,RefSeq,gene,79226,80881,.,-,.,gene-ECOK1_RS00385,sgrR,Gene,sgrR,protein_coding,ECOK1_RS00385,ECOK1_0070,gene-ECOK1_RS00385
NC_017628.1,RefSeq,gene,80970,81101,.,+,.,gene-ECOK1_RS00390,ECOK1_RS00390,Gene,protein_coding,ECOK1_RS00390,ECOK1_0071,gene-ECOK1_RS00390,ECOK1_RS00390
NC_017628.1,RefSeq,gene,81209,81814,.,-,.,gene-ECOK1_RS00395,leuD,Gene,leuD,protein_coding,ECOK1_RS00395,ECOK1_0072,gene-ECOK1_RS00395
NC_017628.1,RefSeq,gene,81825,83225,.,-,.,gene-ECOK1_RS00400,leuC,Gene,leuC,protein_coding,ECOK1_RS00400,ECOK1_0073,gene-ECOK1_RS00400
NC_017628.1,RefSeq,gene,83228,84319,.,-,.,gene-ECOK1_RS00405,leuB,Gene,leuB,protein_coding,ECOK1_RS00405,ECOK1_0074,gene-ECOK1_RS00405
NC_017628.1,RefSeq,gene,84319,85890,.,-,.,gene-ECOK1_RS00410,leuA,Gene,leuA,protein_coding,ECOK1_RS00410,ECOK1_0075,gene-ECOK1_RS00410
NC_017628.1,RefSeq,gene,85982,86068,.,-,.,gene-ECOK1_RS00415,leuL,Gene,leuL,protein_coding,ECOK1_RS00415,ECOK1_0076,gene-ECOK1_RS00415
NC_017628.1,RefSeq,gene,86726,87670,.,+,.,gene-ECOK1_RS00420,leuO,Gene,leuO,protein_coding,ECOK1_RS00420,ECOK1_0077,gene-ECOK1_RS00420
NC_017628.1,RefSeq,gene,87988,89712,.,+,.,gene-ECOK1_RS00425,ilvI,Gene,ilvI,protein_coding,ECOK1_RS00425,ECOK1_0078,gene-ECOK1_RS00425
NC_017628.1,RefSeq,gene,89715,90206,.,+,.,gene-ECOK1_RS00430,ilvN,Gene,ilvN,protein_coding,ECOK1_RS00430,ECOK1_0079,gene-ECOK1_RS00430
NC_017628.1,RefSeq,gene,90218,90304,.,+,.,gene-ECOK1_RS00435,ECOK1_RS00435,Gene,protein_coding,ECOK1_RS00435,ECOK1_0080,gene-ECOK1_RS00435,ECOK1_RS00435
NC_017628.1,RefSeq,gene,90386,91390,.,+,.,gene-ECOK1_RS00440,cra,Gene,cra,protein_coding,ECOK1_RS00440,ECOK1_0081,gene-ECOK1_RS00440
NC_017628.1,RefSeq,gene,91992,92450,.,+,.,gene-ECOK1_RS00445,mraZ,Gene,mraZ,protein_coding,ECOK1_RS00445,ECOK1_0082,gene-ECOK1_RS00445
NC_017628.1,RefSeq,gene,92452,93393,.,+,.,gene-ECOK1_RS00450,rsmH,Gene,rsmH,protein_coding,ECOK1_RS00450,ECOK1_0083,gene-ECOK1_RS00450
NC_017628.1,RefSeq,gene,93390,93755,.,+,.,gene-ECOK1_RS00455,ftsL,Gene,ftsL,protein_coding,ECOK1_RS00455,ECOK1_0084,gene-ECOK1_RS00455
NC_017628.1,RefSeq,gene,93771,95537,.,+,.,gene-ECOK1_RS00460,ftsI,Gene,ftsI,protein_coding,ECOK1_RS00460,ECOK1_0085,gene-ECOK1_RS00460
NC_017628.1,RefSeq,gene,95524,97011,.,+,.,gene-ECOK1_RS00465,murE,Gene,murE,protein_coding,ECOK1_RS00465,ECOK1_0086,gene-ECOK1_RS00465
NC_017628.1,RefSeq,gene,97008,98366,.,+,.,gene-ECOK1_RS00470,murF,Gene,murF,protein_coding,ECOK1_RS00470,ECOK1_0087,gene-ECOK1_RS00470
NC_017628.1,RefSeq,gene,98360,99442,.,+,.,gene-ECOK1_RS00475,mraY,Gene,mraY,protein_coding,ECOK1_RS00475,ECOK1_0088,gene-ECOK1_RS00475
NC_017628.1,RefSeq,gene,99445,100761,.,+,.,gene-ECOK1_RS00480,murD,Gene,murD,protein_coding,ECOK1_RS00480,ECOK1_0089,gene-ECOK1_RS00480
NC_017628.1,RefSeq,gene,100761,102005,.,+,.,gene-ECOK1_RS00485,ftsW,Gene,ftsW,protein_coding,ECOK1_RS00485,ECOK1_0090,gene-ECOK1_RS00485
NC_017628.1,RefSeq,gene,102002,103069,.,+,.,gene-ECOK1_RS00490,murG,Gene,murG,protein_coding,ECOK1_RS00490,ECOK1_0091,gene-ECOK1_RS00490
NC_017628.1,RefSeq,gene,103123,104598,.,+,.,gene-ECOK1_RS00495,murC,Gene,murC,protein_coding,ECOK1_RS00495,ECOK1_0092,gene-ECOK1_RS00495
NC_017628.1,RefSeq,gene,104591,105511,.,+,.,gene-ECOK1_RS00500,ddlB,Gene,ddlB,protein_coding,ECOK1_RS00500,ECOK1_0093,gene-ECOK1_RS00500
NC_017628.1,RefSeq,gene,105513,106343,.,+,.,gene-ECOK1_RS00505,ftsQ,Gene,ftsQ,protein_coding,ECOK1_RS00505,ECOK1_0094,gene-ECOK1_RS00505
NC_017628.1,RefSeq,gene,106340,107602,.,+,.,gene-ECOK1_RS00510,ftsA,Gene,ftsA,protein_coding,ECOK1_RS00510,ECOK1_0095,gene-ECOK1_RS00510
NC_017628.1,RefSeq,gene,107663,108814,.,+,.,gene-ECOK1_RS00515,ftsZ,Gene,ftsZ,protein_coding,ECOK1_RS00515,ECOK1_0096,gene-ECOK1_RS00515
NC_017628.1,RefSeq,gene,108915,109832,.,+,.,gene-ECOK1_RS00520,lpxC,Gene,lpxC,protein_coding,ECOK1_RS00520,ECOK1_0097,gene-ECOK1_RS00520
NC_017628.1,RefSeq,gene,110063,110575,.,+,.,gene-ECOK1_RS00525,secM,Gene,secM,protein_coding,ECOK1_RS00525,ECOK1_0098,gene-ECOK1_RS00525
NC_017628.1,RefSeq,gene,110637,113342,.,+,.,gene-ECOK1_RS00530,secA,Gene,secA,protein_coding,ECOK1_RS00530,ECOK1_0099,gene-ECOK1_RS00530
NC_017628.1,RefSeq,gene,113402,113800,.,+,.,gene-ECOK1_RS00535,mutT,Gene,mutT,protein_coding,ECOK1_RS00535,ECOK1_0100,gene-ECOK1_RS00535
NC_017628.1,RefSeq,gene,113888,114085,.,-,.,gene-ECOK1_RS00540,yacG,Gene,yacG,protein_coding,ECOK1_RS00540,ECOK1_0101,gene-ECOK1_RS00540
NC_017628.1,RefSeq,gene,114095,114838,.,-,.,gene-ECOK1_RS00545,zapD,Gene,zapD,protein_coding,ECOK1_RS00545,ECOK1_0102,gene-ECOK1_RS00545
NC_017628.1,RefSeq,gene,114838,115458,.,-,.,gene-ECOK1_RS00550,coaE,Gene,coaE,protein_coding,ECOK1_RS00550,ECOK1_0103,gene-ECOK1_RS00550
NC_017628.1,RefSeq,gene,115483,115527,.,+,.,gene-ECOK1_RS28710,ECOK1_RS28710,Gene,protein_coding,ECOK1_RS28710,gene-ECOK1_RS28710,ECOK1_RS28710,Gene
NC_017628.1,RefSeq,gene,115683,116726,.,+,.,gene-ECOK1_RS00555,guaC,Gene,guaC,protein_coding,ECOK1_RS00555,ECOK1_0104,gene-ECOK1_RS00555
NC_017628.1,RefSeq,gene,116761,117963,.,-,.,gene-ECOK1_RS00560,hofC,Gene,hofC,protein_coding,ECOK1_RS00560,ECOK1_0105,gene-ECOK1_RS00560
NC_017628.1,RefSeq,gene,117953,119338,.,-,.,gene-ECOK1_RS00565,gspE,Gene,gspE,protein_coding,ECOK1_RS00565,ECOK1_0106,gene-ECOK1_RS00565
NC_017628.1,RefSeq,gene,119348,119788,.,-,.,gene-ECOK1_RS00570,ppdD,Gene,ppdD,protein_coding,ECOK1_RS00570,ECOK1_0107,gene-ECOK1_RS00570
NC_017628.1,RefSeq,gene,119992,120885,.,-,.,gene-ECOK1_RS00580,nadC,Gene,nadC,protein_coding,ECOK1_RS00580,ECOK1_0108,gene-ECOK1_RS00580
NC_017628.1,RefSeq,gene,120973,121524,.,+,.,gene-ECOK1_RS00585,ampD,Gene,ampD,protein_coding,ECOK1_RS00585,ECOK1_0109,gene-ECOK1_RS00585
NC_017628.1,RefSeq,gene,121521,122375,.,+,.,gene-ECOK1_RS00590,ampE,Gene,ampE,protein_coding,ECOK1_RS00590,ECOK1_0110,gene-ECOK1_RS00590
NC_017628.1,RefSeq,gene,122418,123788,.,-,.,gene-ECOK1_RS00595,aroP,Gene,aroP,protein_coding,ECOK1_RS00595,ECOK1_0111,gene-ECOK1_RS00595
NC_017628.1,RefSeq,gene,124316,126097,.,+,.,gene-ECOK1_RS00600,tssD,Gene,tssD,protein_coding,ECOK1_RS00600,ECOK1_0112,gene-ECOK1_RS00600
NC_017628.1,RefSeq,gene,126100,126384,.,+,.,gene-ECOK1_RS00605,ECOK1_RS00605,Gene,protein_coding,ECOK1_RS00605,gene-ECOK1_RS00605,ECOK1_RS00605,Gene
NC_017628.1,RefSeq,gene,126552,126791,.,+,.,gene-ECOK1_RS00610,ECOK1_RS00610,Gene,protein_coding,ECOK1_RS00610,gene-ECOK1_RS00610,ECOK1_RS00610,Gene
NC_017628.1,RefSeq,gene,126792,127082,.,+,.,gene-ECOK1_RS00615,ECOK1_RS00615,Gene,protein_coding,ECOK1_RS00615,ECOK1_0113,gene-ECOK1_RS00615,ECOK1_RS00615
NC_017628.1,RefSeq,gene,127249,127437,.,+,.,gene-ECOK1_RS00620,ECOK1_RS00620,Gene,protein_coding,ECOK1_RS00620,gene-ECOK1_RS00620,ECOK1_RS00620,Gene
NC_017628.1,RefSeq,gene,127491,127781,.,+,.,gene-ECOK1_RS00625,ECOK1_RS00625,Gene,protein_coding,ECOK1_RS00625,ECOK1_0114,gene-ECOK1_RS00625,ECOK1_RS00625
NC_017628.1,RefSeq,gene,128237,129001,.,+,.,gene-ECOK1_RS00630,pdhR,Gene,pdhR,protein_coding,ECOK1_RS00630,ECOK1_0115,gene-ECOK1_RS00630
NC_017628.1,RefSeq,gene,129162,131825,.,+,.,gene-ECOK1_RS00635,aceE,Gene,aceE,protein_coding,ECOK1_RS00635,ECOK1_0116,gene-ECOK1_RS00635
NC_017628.1,RefSeq,gene,131840,133732,.,+,.,gene-ECOK1_RS00640,aceF,Gene,aceF,protein_coding,ECOK1_RS00640,ECOK1_0117,gene-ECOK1_RS00640
NC_017628.1,RefSeq,gene,133940,135364,.,+,.,gene-ECOK1_RS00645,lpdA,Gene,lpdA,protein_coding,ECOK1_RS00645,ECOK1_0118,gene-ECOK1_RS00645
NC_017628.1,RefSeq,gene,135606,137363,.,-,.,gene-ECOK1_RS00650,yacH,Gene,yacH,protein_coding,ECOK1_RS00650,ECOK1_0119,gene-ECOK1_RS00650
NC_017628.1,RefSeq,gene,137718,140315,.,+,.,gene-ECOK1_RS00655,acnB,Gene,acnB,protein_coding,ECOK1_RS00655,ECOK1_0120,gene-ECOK1_RS00655
NC_017628.1,RefSeq,gene,140490,140852,.,+,.,gene-ECOK1_RS00660,yacL,Gene,yacL,protein_coding,ECOK1_RS00660,ECOK1_0121,gene-ECOK1_RS00660
NC_017628.1,RefSeq,gene,140890,141684,.,-,.,gene-ECOK1_RS00665,speD,Gene,speD,protein_coding,ECOK1_RS00665,ECOK1_0122,gene-ECOK1_RS00665
NC_017628.1,RefSeq,gene,141700,142566,.,-,.,gene-ECOK1_RS00670,speE,Gene,speE,protein_coding,ECOK1_RS00670,ECOK1_0123,gene-ECOK1_RS00670
NC_017628.1,RefSeq,gene,142672,143019,.,-,.,gene-ECOK1_RS00675,yacC,Gene,yacC,protein_coding,ECOK1_RS00675,ECOK1_0124,gene-ECOK1_RS00675
NC_017628.1,RefSeq,gene,143185,144735,.,+,.,gene-ECOK1_RS00680,cueO,Gene,cueO,protein_coding,ECOK1_RS00680,ECOK1_0125,gene-ECOK1_RS00680
NC_017628.1,RefSeq,gene,144782,147172,.,-,.,gene-ECOK1_RS00685,gcd,Gene,gcd,protein_coding,ECOK1_RS00685,ECOK1_0126,gene-ECOK1_RS00685
NC_017628.1,RefSeq,gene,147378,147914,.,+,.,gene-ECOK1_RS00690,hpt,Gene,hpt,protein_coding,ECOK1_RS00690,ECOK1_0127,gene-ECOK1_RS00690
NC_017628.1,RefSeq,gene,147955,148617,.,-,.,gene-ECOK1_RS00695,can,Gene,can,protein_coding,ECOK1_RS00695,ECOK1_0128,gene-ECOK1_RS00695
NC_017628.1,RefSeq,gene,148726,149652,.,+,.,gene-ECOK1_RS00700,yadG,Gene,yadG,protein_coding,ECOK1_RS00700,ECOK1_0129,gene-ECOK1_RS00700
NC_017628.1,RefSeq,gene,149649,150419,.,+,.,gene-ECOK1_RS00705,yadH,Gene,yadH,protein_coding,ECOK1_RS00705,ECOK1_0130,gene-ECOK1_RS00705
NC_017628.1,RefSeq,gene,150524,150964,.,+,.,gene-ECOK1_RS00710,yadI,Gene,yadI,protein_coding,ECOK1_RS00710,ECOK1_0131,gene-ECOK1_RS00710
NC_017628.1,RefSeq,gene,151028,152257,.,+,.,gene-ECOK1_RS00715,yadE,Gene,yadE,protein_coding,ECOK1_RS00715,ECOK1_0132,gene-ECOK1_RS00715
NC_017628.1,RefSeq,gene,152261,152641,.,-,.,gene-ECOK1_RS00720,panD,Gene,panD,protein_coding,ECOK1_RS00720,ECOK1_0133,gene-ECOK1_RS00720
NC_017628.1,RefSeq,gene,152915,153799,.,+,.,gene-ECOK1_RS00725,rpnC,Gene,rpnC,protein_coding,ECOK1_RS00725,ECOK1_0134,gene-ECOK1_RS00725
NC_017628.1,RefSeq,gene,153881,154732,.,-,.,gene-ECOK1_RS00730,panC,Gene,panC,protein_coding,ECOK1_RS00730,ECOK1_0135,gene-ECOK1_RS00730
NC_017628.1,RefSeq,gene,154744,155538,.,-,.,gene-ECOK1_RS00735,panB,Gene,panB,protein_coding,ECOK1_RS00735,ECOK1_0136,gene-ECOK1_RS00735
NC_017628.1,RefSeq,gene,155650,156939,.,-,.,gene-ECOK1_RS00740,ECOK1_RS00740,Gene,protein_coding,ECOK1_RS00740,ECOK1_0137,gene-ECOK1_RS00740,ECOK1_RS00740
NC_017628.1,RefSeq,gene,156965,157561,.,-,.,gene-ECOK1_RS00745,ECOK1_RS00745,Gene,protein_coding,ECOK1_RS00745,ECOK1_0138,gene-ECOK1_RS00745,ECOK1_RS00745
NC_017628.1,RefSeq,gene,157588,158196,.,-,.,gene-ECOK1_RS00750,yadL,Gene,yadL,protein_coding,ECOK1_RS00750,ECOK1_0139,gene-ECOK1_RS00750
