	chrom	source	type	start	end	score	strand	phase	attributes	ID	Name	gbkey	gene	gene_biotype	gene_synonym	locus_tag	old_locus_tag	gieStain
10	NC_017628.1	RefSeq	gene	10699	11412	.	-	.	ID=gene-ECOK1_RS00065;Name=msyB;gbkey=Gene;gene=msyB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00065;old_locus_tag=ECOK1_0011	gene-ECOK1_RS00065	msyB	Gene	msyB	protein_coding		ECOK1_RS00065	ECOK1_0011	.
11	NC_017628.1	RefSeq	gene	11438	11842	.	-	.	ID=gene-ECOK1_RS00070;Name=yaaI;gbkey=Gene;gene=yaaI;gene_biotype=protein_coding;locus_tag=ECOK1_RS00070;old_locus_tag=ECOK1_0012	gene-ECOK1_RS00070	yaaI	Gene	yaaI	protein_coding		ECOK1_RS00070	ECOK1_0012	.
12	NC_017628.1	RefSeq	gene	12214	14130	.	+	.	ID=gene-ECOK1_RS00075;Name=dnaK;gbkey=Gene;gene=dnaK;gene_biotype=protein_coding;locus_tag=ECOK1_RS00075;old_locus_tag=ECOK1_0013	gene-ECOK1_RS00075	dnaK	Gene	dnaK	protein_coding		ECOK1_RS00075	ECOK1_0013	.
13	NC_017628.1	RefSeq	gene	14219	15349	.	+	.	ID=gene-ECOK1_RS00080;Name=dnaJ;gbkey=Gene;gene=dnaJ;gene_biotype=protein_coding;locus_tag=ECOK1_RS00080;old_locus_tag=ECOK1_0014	gene-ECOK1_RS00080	dnaJ	Gene	dnaJ	protein_coding		ECOK1_RS00080	ECOK1_0014	.
14	NC_017628.1	RefSeq	gene	15454	15606	.	-	.	ID=gene-ECOK1_RS00085;Name=mokC;gbkey=Gene;gene=mokC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00085	gene-ECOK1_RS00085	mokC	Gene	mokC	protein_coding		ECOK1_RS00085		.
15	NC_017628.1	RefSeq	gene	16218	16979	.	+	.	ID=gene-ECOK1_RS00090;Name=ECOK1_RS00090;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00090;old_locus_tag=ECOK1_0015	gene-ECOK1_RS00090	ECOK1_RS00090	Gene		protein_coding		ECOK1_RS00090	ECOK1_0015	.
16	NC_017628.1	RefSeq	gene	16999	18492	.	+	.	ID=gene-ECOK1_RS00095;Name=ECOK1_RS00095;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00095;old_locus_tag=ECOK1_0016	gene-ECOK1_RS00095	ECOK1_RS00095	Gene		protein_coding		ECOK1_RS00095	ECOK1_0016	.
17	NC_017628.1	RefSeq	gene	18621	19880	.	+	.	ID=gene-ECOK1_RS00100;Name=ECOK1_RS00100;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00100;old_locus_tag=ECOK1_0017	gene-ECOK1_RS00100	ECOK1_RS00100	Gene		protein_coding		ECOK1_RS00100	ECOK1_0017	.
18	NC_017628.1	RefSeq	gene	20115	21281	.	+	.	ID=gene-ECOK1_RS00105;Name=nhaA;gbkey=Gene;gene=nhaA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00105;old_locus_tag=ECOK1_0018	gene-ECOK1_RS00105	nhaA	Gene	nhaA	protein_coding		ECOK1_RS00105	ECOK1_0018	.
19	NC_017628.1	RefSeq	gene	21341	22246	.	+	.	ID=gene-ECOK1_RS00110;Name=nhaR;gbkey=Gene;gene=nhaR;gene_biotype=protein_coding;locus_tag=ECOK1_RS00110;old_locus_tag=ECOK1_0019	gene-ECOK1_RS00110	nhaR	Gene	nhaR	protein_coding		ECOK1_RS00110	ECOK1_0019	.
20	NC_017628.1	RefSeq	gene	22342	22605	.	-	.	ID=gene-ECOK1_RS00115;Name=rpsT;gbkey=Gene;gene=rpsT;gene_biotype=protein_coding;locus_tag=ECOK1_RS00115;old_locus_tag=ECOK1_0020	gene-ECOK1_RS00115	rpsT	Gene	rpsT	protein_coding		ECOK1_RS00115	ECOK1_0020	.
21	NC_017628.1	RefSeq	gene	22708	22926	.	+	.	ID=gene-ECOK1_RS00120;Name=yaaY;gbkey=Gene;gene=yaaY;gene_biotype=protein_coding;locus_tag=ECOK1_RS00120	gene-ECOK1_RS00120	yaaY	Gene	yaaY	protein_coding		ECOK1_RS00120		.
22	NC_017628.1	RefSeq	gene	22934	23875	.	+	.	ID=gene-ECOK1_RS00125;Name=ribF;gbkey=Gene;gene=ribF;gene_biotype=protein_coding;locus_tag=ECOK1_RS00125;old_locus_tag=ECOK1_0021	gene-ECOK1_RS00125	ribF	Gene	ribF	protein_coding		ECOK1_RS00125	ECOK1_0021	.
23	NC_017628.1	RefSeq	gene	23918	26734	.	+	.	ID=gene-ECOK1_RS00130;Name=ileS;gbkey=Gene;gene=ileS;gene_biotype=protein_coding;locus_tag=ECOK1_RS00130;old_locus_tag=ECOK1_0022	gene-ECOK1_RS00130	ileS	Gene	ileS	protein_coding		ECOK1_RS00130	ECOK1_0022	.
24	NC_017628.1	RefSeq	gene	26734	27228	.	+	.	ID=gene-ECOK1_RS00135;Name=lspA;gbkey=Gene;gene=lspA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00135;old_locus_tag=ECOK1_0023	gene-ECOK1_RS00135	lspA	Gene	lspA	protein_coding		ECOK1_RS00135	ECOK1_0023	.
25	NC_017628.1	RefSeq	gene	27336	27785	.	+	.	ID=gene-ECOK1_RS00140;Name=fkpB;gbkey=Gene;gene=fkpB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00140;old_locus_tag=ECOK1_0024	gene-ECOK1_RS00140	fkpB	Gene	fkpB	protein_coding		ECOK1_RS00140	ECOK1_0024	.
26	NC_017628.1	RefSeq	gene	27787	28737	.	+	.	ID=gene-ECOK1_RS00145;Name=ispH;gbkey=Gene;gene=ispH;gene_biotype=protein_coding;gene_synonym=lytB;locus_tag=ECOK1_RS00145;old_locus_tag=ECOK1_0025	gene-ECOK1_RS00145	ispH	Gene	ispH	protein_coding	lytB	ECOK1_RS00145	ECOK1_0025	.
27	NC_017628.1	RefSeq	gene	28803	29717	.	+	.	ID=gene-ECOK1_RS00150;Name=rihC;gbkey=Gene;gene=rihC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00150;old_locus_tag=ECOK1_0026	gene-ECOK1_RS00150	rihC	Gene	rihC	protein_coding		ECOK1_RS00150	ECOK1_0026	.
28	NC_017628.1	RefSeq	gene	29740	30105	.	+	.	ID=gene-ECOK1_RS00155;Name=ECOK1_RS00155;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00155;old_locus_tag=ECOK1_0027	gene-ECOK1_RS00155	ECOK1_RS00155	Gene		protein_coding		ECOK1_RS00155	ECOK1_0027	.
29	NC_017628.1	RefSeq	gene	30266	31087	.	+	.	ID=gene-ECOK1_RS00160;Name=dapB;gbkey=Gene;gene=dapB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00160;old_locus_tag=ECOK1_0028	gene-ECOK1_RS00160	dapB	Gene	dapB	protein_coding		ECOK1_RS00160	ECOK1_0028	.
30	NC_017628.1	RefSeq	gene	31543	32691	.	+	.	ID=gene-ECOK1_RS00175;Name=carA;gbkey=Gene;gene=carA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00175;old_locus_tag=ECOK1_0030	gene-ECOK1_RS00175	carA	Gene	carA	protein_coding		ECOK1_RS00175	ECOK1_0030	.
31	NC_017628.1	RefSeq	gene	32709	35930	.	+	.	ID=gene-ECOK1_RS00180;Name=carB;gbkey=Gene;gene=carB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00180;old_locus_tag=ECOK1_0031	gene-ECOK1_RS00180	carB	Gene	carB	protein_coding		ECOK1_RS00180	ECOK1_0031	.
32	NC_017628.1	RefSeq	gene	36154	36612	.	+	.	ID=gene-ECOK1_RS00190;Name=tnpA;gbkey=Gene;gene=tnpA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00190;old_locus_tag=ECOK1_0032	gene-ECOK1_RS00190	tnpA	Gene	tnpA	protein_coding		ECOK1_RS00190	ECOK1_0032	.
33	NC_017628.1	RefSeq	gene	36902	37297	.	+	.	ID=gene-ECOK1_RS00200;Name=caiF;gbkey=Gene;gene=caiF;gene_biotype=protein_coding;locus_tag=ECOK1_RS00200;old_locus_tag=ECOK1_0033	gene-ECOK1_RS00200	caiF	Gene	caiF	protein_coding		ECOK1_RS00200	ECOK1_0033	.
34	NC_017628.1	RefSeq	gene	37416	38006	.	-	.	ID=gene-ECOK1_RS00205;Name=caiE;gbkey=Gene;gene=caiE;gene_biotype=protein_coding;locus_tag=ECOK1_RS00205;old_locus_tag=ECOK1_0034	gene-ECOK1_RS00205	caiE	Gene	caiE	protein_coding		ECOK1_RS00205	ECOK1_0034	.
35	NC_017628.1	RefSeq	gene	38012	38797	.	-	.	ID=gene-ECOK1_RS00210;Name=caiD;gbkey=Gene;gene=caiD;gene_biotype=protein_coding;locus_tag=ECOK1_RS00210;old_locus_tag=ECOK1_0035	gene-ECOK1_RS00210	caiD	Gene	caiD	protein_coding		ECOK1_RS00210	ECOK1_0035	.
36	NC_017628.1	RefSeq	gene	38906	40459	.	-	.	ID=gene-ECOK1_RS00215;Name=caiC;gbkey=Gene;gene=caiC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00215;old_locus_tag=ECOK1_0036	gene-ECOK1_RS00215	caiC	Gene	caiC	protein_coding		ECOK1_RS00215	ECOK1_0036	.
37	NC_017628.1	RefSeq	gene	40532	41749	.	-	.	ID=gene-ECOK1_RS00220;Name=caiB;gbkey=Gene;gene=caiB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00220;old_locus_tag=ECOK1_0037	gene-ECOK1_RS00220	caiB	Gene	caiB	protein_coding		ECOK1_RS00220	ECOK1_0037	.
38	NC_017628.1	RefSeq	gene	41877	43019	.	-	.	ID=gene-ECOK1_RS00225;Name=caiA;gbkey=Gene;gene=caiA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00225;old_locus_tag=ECOK1_0038	gene-ECOK1_RS00225	caiA	Gene	caiA	protein_coding		ECOK1_RS00225	ECOK1_0038	.
39	NC_017628.1	RefSeq	gene	43050	44564	.	-	.	ID=gene-ECOK1_RS00230;Name=caiT;gbkey=Gene;gene=caiT;gene_biotype=protein_coding;locus_tag=ECOK1_RS00230;old_locus_tag=ECOK1_0039	gene-ECOK1_RS00230	caiT	Gene	caiT	protein_coding		ECOK1_RS00230	ECOK1_0039	.
40	NC_017628.1	RefSeq	gene	45037	45807	.	+	.	ID=gene-ECOK1_RS00235;Name=fixA;gbkey=Gene;gene=fixA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00235;old_locus_tag=ECOK1_0040	gene-ECOK1_RS00235	fixA	Gene	fixA	protein_coding		ECOK1_RS00235	ECOK1_0040	.
41	NC_017628.1	RefSeq	gene	45822	46763	.	+	.	ID=gene-ECOK1_RS00240;Name=fixB;gbkey=Gene;gene=fixB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00240;old_locus_tag=ECOK1_0041	gene-ECOK1_RS00240	fixB	Gene	fixB	protein_coding		ECOK1_RS00240	ECOK1_0041	.
42	NC_017628.1	RefSeq	gene	46814	48100	.	+	.	ID=gene-ECOK1_RS00245;Name=fixC;gbkey=Gene;gene=fixC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00245;old_locus_tag=ECOK1_0042	gene-ECOK1_RS00245	fixC	Gene	fixC	protein_coding		ECOK1_RS00245	ECOK1_0042	.
43	NC_017628.1	RefSeq	gene	48097	48384	.	+	.	ID=gene-ECOK1_RS00250;Name=fixX;gbkey=Gene;gene=fixX;gene_biotype=protein_coding;locus_tag=ECOK1_RS00250;old_locus_tag=ECOK1_0043	gene-ECOK1_RS00250	fixX	Gene	fixX	protein_coding		ECOK1_RS00250	ECOK1_0043	.
44	NC_017628.1	RefSeq	gene	48443	49774	.	+	.	ID=gene-ECOK1_RS00255;Name=yaaU;gbkey=Gene;gene=yaaU;gene_biotype=protein_coding;locus_tag=ECOK1_RS00255;old_locus_tag=ECOK1_0044	gene-ECOK1_RS00255	yaaU	Gene	yaaU	protein_coding		ECOK1_RS00255	ECOK1_0044	.
45	NC_017628.1	RefSeq	gene	49882	50412	.	+	.	ID=gene-ECOK1_RS00260;Name=kefF;gbkey=Gene;gene=kefF;gene_biotype=protein_coding;locus_tag=ECOK1_RS00260;old_locus_tag=ECOK1_0045	gene-ECOK1_RS00260	kefF	Gene	kefF	protein_coding		ECOK1_RS00260	ECOK1_0045	.
46	NC_017628.1	RefSeq	gene	50405	52267	.	+	.	ID=gene-ECOK1_RS00265;Name=kefC;gbkey=Gene;gene=kefC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00265;old_locus_tag=ECOK1_0046	gene-ECOK1_RS00265	kefC	Gene	kefC	protein_coding		ECOK1_RS00265	ECOK1_0046	.
47	NC_017628.1	RefSeq	gene	52459	52938	.	+	.	ID=gene-ECOK1_RS00270;Name=folA;gbkey=Gene;gene=folA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00270;old_locus_tag=ECOK1_0047	gene-ECOK1_RS00270	folA	Gene	folA	protein_coding		ECOK1_RS00270	ECOK1_0047	.
48	NC_017628.1	RefSeq	gene	53024	53257	.	+	.	ID=gene-ECOK1_RS00275;Name=ECOK1_RS00275;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00275;old_locus_tag=ECOK1_0048	gene-ECOK1_RS00275	ECOK1_RS00275	Gene		protein_coding		ECOK1_RS00275	ECOK1_0048	.
49	NC_017628.1	RefSeq	gene	53572	54420	.	-	.	ID=gene-ECOK1_RS00285;Name=apaH;gbkey=Gene;gene=apaH;gene_biotype=protein_coding;locus_tag=ECOK1_RS00285;old_locus_tag=ECOK1_0049	gene-ECOK1_RS00285	apaH	Gene	apaH	protein_coding		ECOK1_RS00285	ECOK1_0049	.
50	NC_017628.1	RefSeq	gene	54427	54804	.	-	.	ID=gene-ECOK1_RS00290;Name=apaG;gbkey=Gene;gene=apaG;gene_biotype=protein_coding;locus_tag=ECOK1_RS00290;old_locus_tag=ECOK1_0051	gene-ECOK1_RS00290	apaG	Gene	apaG	protein_coding		ECOK1_RS00290	ECOK1_0051	.
51	NC_017628.1	RefSeq	gene	54807	55628	.	-	.	ID=gene-ECOK1_RS00295;Name=rsmA;gbkey=Gene;gene=rsmA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00295;old_locus_tag=ECOK1_0052	gene-ECOK1_RS00295	rsmA	Gene	rsmA	protein_coding		ECOK1_RS00295	ECOK1_0052	.
52	NC_017628.1	RefSeq	gene	55625	56614	.	-	.	ID=gene-ECOK1_RS00300;Name=pdxA;gbkey=Gene;gene=pdxA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00300;old_locus_tag=ECOK1_0053	gene-ECOK1_RS00300	pdxA	Gene	pdxA	protein_coding		ECOK1_RS00300	ECOK1_0053	.
53	NC_017628.1	RefSeq	gene	56614	57900	.	-	.	ID=gene-ECOK1_RS00305;Name=surA;gbkey=Gene;gene=surA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00305;old_locus_tag=ECOK1_0054	gene-ECOK1_RS00305	surA	Gene	surA	protein_coding		ECOK1_RS00305	ECOK1_0054	.
54	NC_017628.1	RefSeq	gene	57953	60307	.	-	.	ID=gene-ECOK1_RS00310;Name=lptD;gbkey=Gene;gene=lptD;gene_biotype=protein_coding;locus_tag=ECOK1_RS00310;old_locus_tag=ECOK1_0055	gene-ECOK1_RS00310	lptD	Gene	lptD	protein_coding		ECOK1_RS00310	ECOK1_0055	.
55	NC_017628.1	RefSeq	gene	60562	61377	.	+	.	ID=gene-ECOK1_RS00315;Name=djlA;gbkey=Gene;gene=djlA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00315;old_locus_tag=ECOK1_0056	gene-ECOK1_RS00315	djlA	Gene	djlA	protein_coding		ECOK1_RS00315	ECOK1_0056	.
56	NC_017628.1	RefSeq	gene	61527	62186	.	-	.	ID=gene-ECOK1_RS00320;Name=rluA;gbkey=Gene;gene=rluA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00320;old_locus_tag=ECOK1_0057	gene-ECOK1_RS00320	rluA	Gene	rluA	protein_coding		ECOK1_RS00320	ECOK1_0057	.
57	NC_017628.1	RefSeq	gene	62198	65104	.	-	.	ID=gene-ECOK1_RS00325;Name=rapA;gbkey=Gene;gene=rapA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00325;old_locus_tag=ECOK1_0058	gene-ECOK1_RS00325	rapA	Gene	rapA	protein_coding		ECOK1_RS00325	ECOK1_0058	.
58	NC_017628.1	RefSeq	gene	65268	67619	.	-	.	ID=gene-ECOK1_RS00330;Name=polB;gbkey=Gene;gene=polB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00330;old_locus_tag=ECOK1_0059	gene-ECOK1_RS00330	polB	Gene	polB	protein_coding		ECOK1_RS00330	ECOK1_0059	.
59	NC_017628.1	RefSeq	gene	67694	68389	.	-	.	ID=gene-ECOK1_RS00335;Name=araD;gbkey=Gene;gene=araD;gene_biotype=protein_coding;locus_tag=ECOK1_RS00335;old_locus_tag=ECOK1_0060	gene-ECOK1_RS00335	araD	Gene	araD	protein_coding		ECOK1_RS00335	ECOK1_0060	.
60	NC_017628.1	RefSeq	gene	68589	70091	.	-	.	ID=gene-ECOK1_RS00340;Name=araA;gbkey=Gene;gene=araA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00340;old_locus_tag=ECOK1_0061	gene-ECOK1_RS00340	araA	Gene	araA	protein_coding		ECOK1_RS00340	ECOK1_0061	.
61	NC_017628.1	RefSeq	gene	70102	71802	.	-	.	ID=gene-ECOK1_RS00345;Name=araB;gbkey=Gene;gene=araB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00345;old_locus_tag=ECOK1_0062	gene-ECOK1_RS00345	araB	Gene	araB	protein_coding		ECOK1_RS00345	ECOK1_0062	.
62	NC_017628.1	RefSeq	gene	72141	72986	.	+	.	ID=gene-ECOK1_RS00350;Name=araC;gbkey=Gene;gene=araC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00350;old_locus_tag=ECOK1_0063	gene-ECOK1_RS00350	araC	Gene	araC	protein_coding		ECOK1_RS00350	ECOK1_0063	.
63	NC_017628.1	RefSeq	gene	73501	74349	.	+	.	ID=gene-ECOK1_RS00355;Name=ECOK1_RS00355;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00355;old_locus_tag=ECOK1_0065	gene-ECOK1_RS00355	ECOK1_RS00355	Gene		protein_coding		ECOK1_RS00355	ECOK1_0065	.
64	NC_017628.1	RefSeq	gene	74356	74778	.	+	.	ID=gene-ECOK1_RS00360;Name=ECOK1_RS00360;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00360	gene-ECOK1_RS00360	ECOK1_RS00360	Gene		protein_coding		ECOK1_RS00360		.
65	NC_017628.1	RefSeq	gene	74933	75697	.	+	.	ID=gene-ECOK1_RS00365;Name=yabI;gbkey=Gene;gene=yabI;gene_biotype=protein_coding;locus_tag=ECOK1_RS00365;old_locus_tag=ECOK1_0066	gene-ECOK1_RS00365	yabI	Gene	yabI	protein_coding		ECOK1_RS00365	ECOK1_0066	.
66	NC_017628.1	RefSeq	gene	75811	76509	.	-	.	ID=gene-ECOK1_RS00370;Name=thiQ;gbkey=Gene;gene=thiQ;gene_biotype=protein_coding;locus_tag=ECOK1_RS00370;old_locus_tag=ECOK1_0067	gene-ECOK1_RS00370	thiQ	Gene	thiQ	protein_coding		ECOK1_RS00370	ECOK1_0067	.
67	NC_017628.1	RefSeq	gene	76493	78103	.	-	.	ID=gene-ECOK1_RS00375;Name=thiP;gbkey=Gene;gene=thiP;gene_biotype=protein_coding;locus_tag=ECOK1_RS00375;old_locus_tag=ECOK1_0068	gene-ECOK1_RS00375	thiP	Gene	thiP	protein_coding		ECOK1_RS00375	ECOK1_0068	.
68	NC_017628.1	RefSeq	gene	78079	79062	.	-	.	ID=gene-ECOK1_RS00380;Name=thiB;gbkey=Gene;gene=thiB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00380;old_locus_tag=ECOK1_0069	gene-ECOK1_RS00380	thiB	Gene	thiB	protein_coding		ECOK1_RS00380	ECOK1_0069	.
69	NC_017628.1	RefSeq	gene	79226	80881	.	-	.	ID=gene-ECOK1_RS00385;Name=sgrR;gbkey=Gene;gene=sgrR;gene_biotype=protein_coding;locus_tag=ECOK1_RS00385;old_locus_tag=ECOK1_0070	gene-ECOK1_RS00385	sgrR	Gene	sgrR	protein_coding		ECOK1_RS00385	ECOK1_0070	.
70	NC_017628.1	RefSeq	gene	80970	81101	.	+	.	ID=gene-ECOK1_RS00390;Name=ECOK1_RS00390;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00390;old_locus_tag=ECOK1_0071	gene-ECOK1_RS00390	ECOK1_RS00390	Gene		protein_coding		ECOK1_RS00390	ECOK1_0071	.
71	NC_017628.1	RefSeq	gene	81209	81814	.	-	.	ID=gene-ECOK1_RS00395;Name=leuD;gbkey=Gene;gene=leuD;gene_biotype=protein_coding;locus_tag=ECOK1_RS00395;old_locus_tag=ECOK1_0072	gene-ECOK1_RS00395	leuD	Gene	leuD	protein_coding		ECOK1_RS00395	ECOK1_0072	.
72	NC_017628.1	RefSeq	gene	81825	83225	.	-	.	ID=gene-ECOK1_RS00400;Name=leuC;gbkey=Gene;gene=leuC;gene_biotype=protein_coding;locus_tag=ECOK1_RS00400;old_locus_tag=ECOK1_0073	gene-ECOK1_RS00400	leuC	Gene	leuC	protein_coding		ECOK1_RS00400	ECOK1_0073	.
73	NC_017628.1	RefSeq	gene	83228	84319	.	-	.	ID=gene-ECOK1_RS00405;Name=leuB;gbkey=Gene;gene=leuB;gene_biotype=protein_coding;locus_tag=ECOK1_RS00405;old_locus_tag=ECOK1_0074	gene-ECOK1_RS00405	leuB	Gene	leuB	protein_coding		ECOK1_RS00405	ECOK1_0074	.
74	NC_017628.1	RefSeq	gene	84319	85890	.	-	.	ID=gene-ECOK1_RS00410;Name=leuA;gbkey=Gene;gene=leuA;gene_biotype=protein_coding;locus_tag=ECOK1_RS00410;old_locus_tag=ECOK1_0075	gene-ECOK1_RS00410	leuA	Gene	leuA	protein_coding		ECOK1_RS00410	ECOK1_0075	.
75	NC_017628.1	RefSeq	gene	85982	86068	.	-	.	ID=gene-ECOK1_RS00415;Name=leuL;gbkey=Gene;gene=leuL;gene_biotype=protein_coding;locus_tag=ECOK1_RS00415;old_locus_tag=ECOK1_0076	gene-ECOK1_RS00415	leuL	Gene	leuL	protein_coding		ECOK1_RS00415	ECOK1_0076	.
76	NC_017628.1	RefSeq	gene	86726	87670	.	+	.	ID=gene-ECOK1_RS00420;Name=leuO;gbkey=Gene;gene=leuO;gene_biotype=protein_coding;locus_tag=ECOK1_RS00420;old_locus_tag=ECOK1_0077	gene-ECOK1_RS00420	leuO	Gene	leuO	protein_coding		ECOK1_RS00420	ECOK1_0077	.
77	NC_017628.1	RefSeq	gene	87988	89712	.	+	.	ID=gene-ECOK1_RS00425;Name=ilvI;gbkey=Gene;gene=ilvI;gene_biotype=protein_coding;locus_tag=ECOK1_RS00425;old_locus_tag=ECOK1_0078	gene-ECOK1_RS00425	ilvI	Gene	ilvI	protein_coding		ECOK1_RS00425	ECOK1_0078	.
78	NC_017628.1	RefSeq	gene	89715	90206	.	+	.	ID=gene-ECOK1_RS00430;Name=ilvN;gbkey=Gene;gene=ilvN;gene_biotype=protein_coding;locus_tag=ECOK1_RS00430;old_locus_tag=ECOK1_0079	gene-ECOK1_RS00430	ilvN	Gene	ilvN	protein_coding		ECOK1_RS00430	ECOK1_0079	.
79	NC_017628.1	RefSeq	gene	90218	90304	.	+	.	ID=gene-ECOK1_RS00435;Name=ECOK1_RS00435;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS00435;old_locus_tag=ECOK1_0080	gene-ECOK1_RS00435	ECOK1_RS00435	Gene		protein_coding		ECOK1_RS00435	ECOK1_0080	.
