	chrom	start	end	Name	gieStain
281	NC_017628.1	312388	312651	ykgM	.
282	NC_017628.1	313591	314733	ECOK1_RS01490	.
283	NC_017628.1	314905	315825	ECOK1_RS01495	.
284	NC_017628.1	315982	316908	ECOK1_RS01500	.
285	NC_017628.1	317108	318001	ECOK1_RS01505	.
286	NC_017628.1	318032	319021	ECOK1_RS01510	.
287	NC_017628.1	319048	319899	ECOK1_RS01515	.
288	NC_017628.1	320465	324715	fdeC	.
289	NC_017628.1	324840	325697	ECOK1_RS01525	.
290	NC_017628.1	325945	326814	ECOK1_RS01530	.
291	NC_017628.1	326974	327567	rclC	.
292	NC_017628.1	327579	327815	rclB	.
293	NC_017628.1	327924	329249	rclA	.
294	NC_017628.1	329476	330330	rclR	.
295	NC_017628.1	330857	331576	ykgE	.
296	NC_017628.1	331587	333014	ykgF	.
297	NC_017628.1	333007	333702	ykgG	.
298	NC_017628.1	333945	334613	ykgH	.
299	NC_017628.1	334797	337094	hyxB	.
300	NC_017628.1	337136	337897	hyxA	.
301	NC_017628.1	338051	338845	hyxR	.
302	NC_017628.1	339175	339738	ipbA	.
303	NC_017628.1	340810	342498	betA	.
304	NC_017628.1	342512	343984	betB	.
305	NC_017628.1	343998	344585	betI	.
306	NC_017628.1	344714	346747	betT	.
307	NC_017628.1	347625	348713	pdeL	.
308	NC_017628.1	348755	349687	yahB	.
309	NC_017628.1	349779	350276	yahC	.
310	NC_017628.1	350534	351139	yahD	.
311	NC_017628.1	351179	352042	yahE	.
312	NC_017628.1	352032	353579	fdrA	.
313	NC_017628.1	353579	354997	yahG	.
314	NC_017628.1	355151	356101	yahI	.
315	NC_017628.1	356111	357493	yahJ	.
316	NC_017628.1	357791	358201	ECOK1_RS01675	.
317	NC_017628.1	358455	359438	ECOK1_RS01680	.
318	NC_017628.1	359487	360971	ECOK1_RS01685	.
319	NC_017628.1	360964	361935	ECOK1_RS01690	.
320	NC_017628.1	361932	362888	ECOK1_RS01695	.
321	NC_017628.1	362975	364024	yahK	.
322	NC_017628.1	364646	364891	yahM	.
323	NC_017628.1	364908	365579	yahN	.
324	NC_017628.1	365726	366001	yahO	.
325	NC_017628.1	367927	368817	prpB	.
326	NC_017628.1	368862	370031	prpC	.
327	NC_017628.1	370065	371516	prpD	.
328	NC_017628.1	371556	373442	prpE	.
329	NC_017628.1	373767	375026	codB	.
330	NC_017628.1	375016	376299	codA	.
331	NC_017628.1	376420	377031	lacA	.
332	NC_017628.1	377097	378350	lacY	.
333	NC_017628.1	378402	381476	lacZ	.
334	NC_017628.1	381599	382681	lacI	.
335	NC_017628.1	382883	383422	yaiL	.
336	NC_017628.1	383648	384481	fghA	.
337	NC_017628.1	384574	385683	frmA	.
338	NC_017628.1	385718	385993	frmR	.
339	NC_017628.1	386182	386955	yaiO	.
340	NC_017628.1	386957	387550	ECOK1_RS01805	.
341	NC_017628.1	387516	388712	yaiP	.
342	NC_017628.1	388722	389393	ECOK1_RS01815	.
343	NC_017628.1	390001	390963	tauA	.
344	NC_017628.1	390976	391743	tauB	.
345	NC_017628.1	391740	392567	tauC	.
346	NC_017628.1	392564	393415	tauD	.
347	NC_017628.1	393455	394429	hemB	.
348	NC_017628.1	394955	397942	ECOK1_RS01845	.
349	NC_017628.1	398028	398651	iprA	.
350	NC_017628.1	398652	399809	ampH	.
351	NC_017628.1	400161	401381	sbmA	.
352	NC_017628.1	401394	402488	yaiW	.
353	NC_017628.1	402547	402855	yaiY	.
354	NC_017628.1	403115	403327	yaiZ	.
355	NC_017628.1	403351	404445	ddlA	.
356	NC_017628.1	404908	405168	iraP	.
357	NC_017628.1	405269	406684	phoA	.
358	NC_017628.1	406803	407123	psiF	.
359	NC_017628.1	407225	408340	adrA	.
360	NC_017628.1	408357	409166	proC	.
361	NC_017628.1	409286	409744	yaiI	.
362	NC_017628.1	409927	410451	aroL	.
363	NC_017628.1	410501	410692	yaiA	.
364	NC_017628.1	410950	411627	aroM	.
365	NC_017628.1	411699	411983	ppnP	.
366	NC_017628.1	412469	412549	ECOK1_RS28150	.
367	NC_017628.1	412630	413541	rdgC	.
368	NC_017628.1	413665	414573	mak	.
369	NC_017628.1	414842	416026	araJ	.
370	NC_017628.1	416152	419295	sbcC	.
371	NC_017628.1	419292	420494	sbcD	.
372	NC_017628.1	420684	421373	phoB	.
373	NC_017628.1	421431	422726	phoR	.
374	NC_017628.1	423133	424452	brnQ	.
375	NC_017628.1	424528	425901	proY	.
376	NC_017628.1	426057	427874	malZ	.
377	NC_017628.1	427879	428460	acpH	.
378	NC_017628.1	428679	429749	queA	.
379	NC_017628.1	429804	430931	tgt	.
380	NC_017628.1	430954	431286	yajC	.
381	NC_017628.1	431314	433161	secD	.
382	NC_017628.1	433172	434143	secF	.
383	NC_017628.1	434273	434620	yajD	.
384	NC_017628.1	434658	435542	tsx	.
385	NC_017628.1	435840	436379	yajI	.
386	NC_017628.1	436530	436979	nrdR	.
387	NC_017628.1	436983	438086	ribD	.
388	NC_017628.1	438175	438645	ribE	.
389	NC_017628.1	438665	439084	nusB	.
390	NC_017628.1	439162	440139	thiL	.
391	NC_017628.1	440117	440635	pgpA	.
392	NC_017628.1	440689	441663	yajO	.
393	NC_017628.1	441718	443580	dxs	.
394	NC_017628.1	443605	444504	ispA	.
395	NC_017628.1	444504	444746	xseB	.
396	NC_017628.1	444952	446400	thiI	.
397	NC_017628.1	446454	447044	yajL	.
398	NC_017628.1	447007	447918	panE	.
399	NC_017628.1	448086	448577	yajQ	.
400	NC_017628.1	448705	450069	yajR	.
401	NC_017628.1	450218	451108	cyoE	.
402	NC_017628.1	451120	451449	cyoD	.
403	NC_017628.1	451449	452063	cyoC	.
404	NC_017628.1	452053	454044	cyoB	.
405	NC_017628.1	454066	455013	cyoA	.
406	NC_017628.1	455472	456947	ampG	.
407	NC_017628.1	456991	457569	yajG	.
408	NC_017628.1	457874	458191	bolA	.
409	NC_017628.1	458535	459824	tig	.
410	NC_017628.1	460079	460702	clpP	.
411	NC_017628.1	460828	462102	clpX	.
412	NC_017628.1	462290	464644	lon	.
413	NC_017628.1	464835	465125	hupB	.
414	NC_017628.1	465317	467188	ppiD	.
415	NC_017628.1	467339	467710	ybaV	.
416	NC_017628.1	467816	468214	fadM	.
417	NC_017628.1	468266	468961	queC	.
418	NC_017628.1	469026	470726	ybaE	.
419	NC_017628.1	470826	471644	cof	.
420	NC_017628.1	471797	472255	decR	.
421	NC_017628.1	472285	474057	mdlA	.
422	NC_017628.1	474050	475831	mdlB	.
423	NC_017628.1	476012	476350	glnK	.
424	NC_017628.1	476380	477666	amtB	.
425	NC_017628.1	477715	478575	tesB	.
426	NC_017628.1	478793	479365	ybaY	.
427	NC_017628.1	479396	479707	ECOK1_RS02255	.
428	NC_017628.1	479870	479966	ffs	.
429	NC_017628.1	480086	480439	ybaA	.
430	NC_017628.1	480481	482031	pdeB	.
431	NC_017628.1	482195	482665	ylaC	.
432	NC_017628.1	482781	483332	maa	.
433	NC_017628.1	483506	483724	hha	.
434	NC_017628.1	483750	484124	tomB	.
435	NC_017628.1	484669	487818	acrB	.
436	NC_017628.1	487841	489034	acrA	.
437	NC_017628.1	489176	489823	acrR	.
438	NC_017628.1	489951	493313	mscK	.
439	NC_017628.1	493525	493686	rsmS	.
440	NC_017628.1	493700	494227	priC	.
441	NC_017628.1	494297	494674	ybaN	.
442	NC_017628.1	494827	495378	apt	.
443	NC_017628.1	495507	497438	dnaX	.
444	NC_017628.1	497491	497820	ybaB	.
445	NC_017628.1	497820	498425	recR	.
446	NC_017628.1	498535	500409	htpG	.
447	NC_017628.1	500590	501234	adk	.
448	NC_017628.1	501366	502328	hemH	.
449	NC_017628.1	502325	503284	aes	.
450	NC_017628.1	503436	504740	gsk	.
451	NC_017628.1	504870	506546	ybaL	.
452	NC_017628.1	506785	508005	fsr	.
453	NC_017628.1	508223	509875	ushA	.
454	NC_017628.1	509913	510416	ECOK1_RS02390	.
455	NC_017628.1	510413	511213	ECOK1_RS02395	.
456	NC_017628.1	511237	511716	ybaK	.
457	NC_017628.1	511920	512714	ybaP	.
458	NC_017628.1	512847	513149	ECOK1_RS02410	.
459	NC_017628.1	513185	513526	ybaQ	.
460	NC_017628.1	513584	516088	copA	.
461	NC_017628.1	516350	517282	glsA	.
462	NC_017628.1	517285	518577	ybaT	.
463	NC_017628.1	518702	519109	cueR	.
464	NC_017628.1	519113	519316	ECOK1_RS02440	.
465	NC_017628.1	519313	519735	ECOK1_RS02445	.
466	NC_017628.1	519821	520837	ECOK1_RS02450	.
467	NC_017628.1	521204	521566	ECOK1_RS02455	.
468	NC_017628.1	521669	522127	ybbJ	.
469	NC_017628.1	522124	523041	qmcA	.
470	NC_017628.1	523187	523864	fetA	.
471	NC_017628.1	523851	524630	fetB	.
472	NC_017628.1	524693	525547	cnoX	.
473	NC_017628.1	525608	526417	ybbO	.
474	NC_017628.1	526407	527030	tesA	.
475	NC_017628.1	527001	527687	ybbA	.
476	NC_017628.1	527684	530098	ybbP	.
477	NC_017628.1	530157	531251	mnmH	.
478	NC_017628.1	531320	532246	allS	.
479	NC_017628.1	532476	532958	allA	.
480	NC_017628.1	533036	533851	allR	.
481	NC_017628.1	533941	535722	gcl	.
482	NC_017628.1	535735	536511	hyi	.
483	NC_017628.1	536611	537489	glxR	.
484	NC_017628.1	537659	539113	ybbW	.
485	NC_017628.1	539173	540534	allB	.
486	NC_017628.1	540590	541891	ybbY	.
487	NC_017628.1	541913	543058	glxK	.
488	NC_017628.1	543187	543972	allE	.
489	NC_017628.1	543983	545218	allC	.
490	NC_017628.1	545240	546289	allD	.
491	NC_017628.1	546606	548273	fdrA	.
492	NC_017628.1	549553	550368	ylbF	.
493	NC_017628.1	550365	551258	ybcF	.
494	NC_017628.1	551411	552478	purK	.
495	NC_017628.1	552475	552984	purE	.
496	NC_017628.1	553080	553409	ECOK1_RS02610	.
497	NC_017628.1	553520	554242	lpxH	.
498	NC_017628.1	554245	554739	ppiB	.
499	NC_017628.1	554913	556298	cysS	.
500	NC_017628.1	556334	556855	ybcI	.
501	NC_017628.1	556963	557175	ybcJ	.
502	NC_017628.1	557177	558043	folD	.
503	NC_017628.1	558314	558390	ECOK1_RS02650	.
504	NC_017628.1	558406	559569	intD	.
505	NC_017628.1	559796	560101	yfdT	.
506	NC_017628.1	560101	560463	ECOK1_RS02665	.
507	NC_017628.1	560454	560990	yfdR	.
508	NC_017628.1	561118	561942	ECOK1_RS02675	.
509	NC_017628.1	562008	562370	yfdP	.
510	NC_017628.1	562841	563356	ECOK1_RS02685	.
511	NC_017628.1	563741	564817	ECOK1_RS02690	.
512	NC_017628.1	564988	565692	ECOK1_RS02695	.
513	NC_017628.1	565799	566062	ECOK1_RS25985	.
514	NC_017628.1	566091	566648	ymfL	.
515	NC_017628.1	566824	567003	ECOK1_RS25990	.
516	NC_017628.1	566993	567949	ECOK1_RS02715	.
517	NC_017628.1	567946	568440	ECOK1_RS02720	.
518	NC_017628.1	568440	568766	ECOK1_RS02725	.
519	NC_017628.1	568763	569152	ECOK1_RS02730	.
520	NC_017628.1	569172	570014	ECOK1_RS02735	.
521	NC_017628.1	570022	571011	ECOK1_RS02740	.
522	NC_017628.1	571025	571777	ECOK1_RS02745	.
523	NC_017628.1	571932	572462	ECOK1_RS02750	.
524	NC_017628.1	572645	572839	ECOK1_RS02755	.
525	NC_017628.1	572989	574050	ECOK1_RS02760	.
526	NC_017628.1	575144	575359	ECOK1_RS02775	.
527	NC_017628.1	575364	575708	ECOK1_RS02780	.
528	NC_017628.1	575674	575946	ECOK1_RS02785	.
529	NC_017628.1	576052	576585	ECOK1_RS02790	.
530	NC_017628.1	576802	576984	rzoD	.
531	NC_017628.1	577075	577368	iss	.
532	NC_017628.1	577849	578175	ECOK1_RS02810	.
533	NC_017628.1	578382	578564	ECOK1_RS28725	.
534	NC_017628.1	579129	579674	ECOK1_RS02825	.
535	NC_017628.1	579649	581574	ECOK1_RS02830	.
536	NC_017628.1	581571	581777	ECOK1_RS02835	.
537	NC_017628.1	581774	583375	ECOK1_RS02840	.
538	NC_017628.1	583356	584675	ECOK1_RS02845	.
539	NC_017628.1	584685	585017	ECOK1_RS02850	.
540	NC_017628.1	585073	586098	ECOK1_RS02855	.
541	NC_017628.1	586140	586535	ECOK1_RS02860	.
542	NC_017628.1	586547	586900	ECOK1_RS02865	.
543	NC_017628.1	586912	587490	ECOK1_RS02870	.
544	NC_017628.1	587487	587882	ECOK1_RS02875	.
545	NC_017628.1	587890	588630	ECOK1_RS02880	.
546	NC_017628.1	588646	589068	ECOK1_RS02885	.
547	NC_017628.1	589050	589484	ECOK1_RS02890	.
548	NC_017628.1	589477	592056	ECOK1_RS02895	.
549	NC_017628.1	592053	592382	ECOK1_RS02900	.
550	NC_017628.1	592382	593080	ECOK1_RS02905	.
551	NC_017628.1	593085	593828	ECOK1_RS02910	.
552	NC_017628.1	593726	594373	ECOK1_RS02915	.
553	NC_017628.1	594434	597913	ECOK1_RS02920	.
554	NC_017628.1	597982	598581	ECOK1_RS02925	.
555	NC_017628.1	598646	600706	ECOK1_RS02935	.
556	NC_017628.1	600703	600981	ECOK1_RS02940	.
557	NC_017628.1	600991	601284	ECOK1_RS02945	.
558	NC_017628.1	601477	602133	ECOK1_RS02950	.
559	NC_017628.1	602691	604175	ECOK1_RS02960	.
560	NC_017628.1	604362	605315	ompT	.
561	NC_017628.1	606835	607503	ECOK1_RS02985	.
562	NC_017628.1	607735	608688	ompT	.
563	NC_017628.1	609346	610236	ybcH	.
564	NC_017628.1	610237	613209	nfrA	.
565	NC_017628.1	613196	615433	nrfB	.
566	NC_017628.1	615583	617025	cusS	.
567	NC_017628.1	617015	617698	cusR	.
568	NC_017628.1	617855	619237	cusC	.
569	NC_017628.1	619261	619593	cusF	.
570	NC_017628.1	619609	620832	cusB	.
571	NC_017628.1	620844	623987	cusA	.
572	NC_017628.1	624089	625465	pheP	.
573	NC_017628.1	625547	626794	ybdG	.
574	NC_017628.1	626902	627555	nfsB	.
575	NC_017628.1	627634	628017	ybdF	.
576	NC_017628.1	628082	628330	ybdJ	.
577	NC_017628.1	628396	629514	ybdK	.
578	NC_017628.1	629968	630120	hokE	.
579	NC_017628.1	630242	630862	entD	.
580	NC_017628.1	631037	633277	fepA	.
581	NC_017628.1	633520	634722	fes	.
582	NC_017628.1	634725	634943	ybdZ	.
583	NC_017628.1	634940	638821	entF	.
584	NC_017628.1	639037	640170	wzz(fepE)	.
585	NC_017628.1	640167	640982	fepC	.
586	NC_017628.1	640979	641971	fepG	.
587	NC_017628.1	641968	642972	fepD	.
588	NC_017628.1	643083	644333	entS	.
589	NC_017628.1	644337	645293	fepB	.
590	NC_017628.1	645482	646657	entC	.
591	NC_017628.1	646667	648277	entE	.
